Domain,DA,PR Durumu,TF,Index Sayısı,Spam Skoru
google.com,Domain Authority: 94,PR Quality: Very Strong,Trust Flow: 100,"Indexed URLs: 2,147,483,647",Spam Score: 1 / 18
youtube.com,Domain Authority: 100,PR Quality: Very Strong,Trust Flow: 100,"Indexed URLs: 631,194,341",Spam Score: 1 / 18
